Grade,Race,SPED,Q3_Raw_Score,Q3_%Corr,Q3_Met_Level
7,B,,12,26,Not Met
7,W,Y,12,26,Not Met
7,H,Y,12,26,Not Met
7,W,Y,12,26,Not Met
8,H,,13,27,Not Met
8,H,,13,27,Not Met
8,W,,13,27,Not Met
6,B,,11,28,Not Met
6,B,,11,28,Not Met
6,H,,11,28,Not Met
6,H,Y,11,28,Not Met
7,H,,13,28,Not Met
7,H,,13,28,Not Met
7,H,,13,28,Not Met
7,H,,13,28,Not Met
7,H,,13,28,Not Met
7,H,,13,28,Not Met
7,W,Y,13,28,Not Met
7,W,,13,28,Not Met
7,H,,13,28,Not Met
7,H,,13,28,Not Met
7,H,Y,13,28,Not Met
8,H,,14,29,Not Met
8,T,Y,14,29,Not Met
8,H,,14,29,Not Met
8,H,,14,29,Not Met
8,H,,14,29,Not Met
8,H,,14,29,Not Met
8,B,Y,14,29,Not Met
6,H,,12,30,Not Met
6,B,,12,30,Not Met
6,H,,12,30,Not Met
6,H,,12,30,Not Met
6,H,,12,30,Not Met
6,H,,12,30,Not Met
6,H,,12,30,Not Met
6,B,Y,12,30,Not Met
6,H,Y,12,30,Not Met
6,H,Y,12,30,Not Met
7,H,,14,30,Not Met
7,H,,14,30,Not Met
7,H,,14,30,Not Met
7,H,,14,30,Not Met
7,H,,14,30,Not Met
7,H,,14,30,Not Met
7,H,,14,30,Not Met
7,H,,14,30,Not Met
7,H,,14,30,Not Met
7,H,,14,30,Not Met
8,H,,14,30,Not Met
8,B,,15,31,Not Met
8,W,,15,31,Not Met
8,H,,15,31,Not Met
8,H,,15,31,Not Met
8,B,Y,15,31,Not Met
8,B,Y,15,31,Not Met
6,H,,13,33,Not Met
6,H,,13,33,Not Met
6,H,,13,33,Not Met
6,H,,13,33,Not Met
6,B,Y,13,33,Not Met
7,H,,15,33,Not Met
7,H,,15,33,Not Met
7,H,,15,33,Not Met
7,T,,15,33,Not Met
7,H,,15,33,Not Met
7,B,,15,33,Not Met
7,W,Y,15,33,Not Met
8,H,,16,33,Not Met
8,H,,16,33,Not Met
8,H,,16,33,Not Met
8,H,,16,33,Not Met
8,H,Y,15,33,Not Met
6,H,,14,35,Appr
6,H,,14,35,Appr
6,H,,14,35,Appr
6,H,,14,35,Appr
6,W,,14,35,Appr
6,H,,14,35,Appr
6,H,,14,35,Appr
6,H,Y,14,35,Appr
6,H,Y,14,35,Appr
6,H,Y,14,35,Appr
7,H,,16,35,Not Met
7,B,,16,35,Not Met
7,H,,16,35,Not Met
7,H,,16,35,Not Met
8,H,,17,35,Not Met
8,H,,17,35,Not Met
8,H,,17,35,Not Met
8,H,,17,35,Not Met
8,H,,17,35,Not Met
8,H,Y,17,35,Not Met
8,H,,17,35,Not Met
8,H,,17,35,Not Met
8,H,Y,17,35,Not Met
7,B,,17,37,Not Met
7,H,,17,37,Not Met
7,H,,17,37,Not Met
7,H,,17,37,Not Met
7,H,,17,37,Not Met
7,H,,17,37,Not Met
7,B,,17,37,Not Met
7,H,,17,37,Not Met
7,B,Y,17,37,Not Met
7,H,Y,17,37,Not Met
7,H,Y,17,37,Not Met
6,H,,15,38,Appr
6,H,,15,38,Appr
6,H,,15,38,Appr
6,H,,15,38,Appr
6,H,,15,38,Appr
6,H,,15,38,Appr
8,H,,18,38,Appr
8,H,,18,38,Appr
8,H,,18,38,Appr
8,B,,18,38,Appr
8,H,,18,38,Appr
8,H,,18,38,Appr
8,B,,18,38,Appr
8,W,,18,38,Appr
8,W,,18,38,Appr
8,H,Y,18,38,Appr
7,H,Y,18,39,Not Met
7,H,,18,39,Not Met
7,H,,18,39,Not Met
7,H,,18,39,Not Met
7,H,,18,39,Not Met
7,H,,18,39,Not Met
7,H,,18,39,Not Met
6,H,,16,40,Appr
6,H,,16,40,Appr
6,H,,16,40,Appr
6,H,,16,40,Appr
6,H,,16,40,Appr
6,H,,16,40,Appr
8,H,,19,40,Appr
8,H,,19,40,Appr
8,T,,19,40,Appr
8,H,,19,40,Appr
8,B,,19,40,Appr
8,H,,19,40,Appr
8,H,,19,40,Appr
8,H,,19,40,Appr
8,B,,19,40,Appr
8,B,,19,40,Appr
8,H,,19,40,Appr
8,H,,19,40,Appr
8,H,,19,40,Appr
8,H,,19,40,Appr
8,H,,19,40,Appr
7,B,,19,41,Not Met
7,B,,19,41,Not Met
7,H,,19,41,Not Met
7,H,,19,41,Not Met
7,H,,19,41,Not Met
7,H,,19,41,Not Met
7,H,,19,41,Not Met
7,B,,19,41,Not Met
7,B,Y,19,41,Not Met
8,T,,19,41,Appr
8,B,,20,42,Appr
8,B,,20,42,Appr
8,H,,20,42,Appr
8,B,,20,42,Appr
8,B,,20,42,Appr
8,B,,20,42,Appr
8,H,,20,42,Appr
6,H,,17,43,Appr
6,H,,17,43,Appr
6,H,Y,17,43,Appr
6,H,,17,43,Appr
6,H,Y,17,43,Appr
7,H,,20,43,Appr
7,H,,20,43,Appr
7,H,,20,43,Appr
8,H,,20,43,Appr
8,H,,21,44,Appr
8,H,,21,44,Appr
8,B,,21,44,Appr
8,H,,21,44,Appr
8,H,,21,44,Appr
8,H,,21,44,Appr
8,H,Y,21,44,Appr
6,H,,18,45,Appr
6,H,,18,45,Appr
6,H,,18,45,Appr
6,H,,18,45,Appr
6,H,Y,18,45,Appr
7,H,,21,46,Appr
7,H,,21,46,Appr
7,H,Y,21,46,Appr
7,H,,21,46,Appr
7,H,,21,46,Appr
7,H,,21,46,Appr
8,H,,22,46,Appr
8,B,,22,46,Appr
8,H,,22,46,Appr
8,H,,22,46,Appr
8,B,,22,46,Appr
8,H,,22,46,Appr
8,T,,22,46,Appr
8,T,Y,22,46,Appr
6,H,,19,48,Appr
6,H,,19,48,Appr
6,H,,19,48,Appr
6,H,,19,48,Appr
6,P,,19,48,Appr
7,B,,22,48,Appr
7,H,,22,48,Appr
7,H,,22,48,Appr
7,W,,22,48,Appr
7,T,,22,48,Appr
7,H,,22,48,Appr
7,H,,22,48,Appr
7,H,Y,22,48,Appr
8,H,,23,48,Appr
8,H,,23,48,Appr
8,H,,23,48,Appr
8,H,,23,48,Appr
8,H,,23,48,Appr
6,B,,20,50,Appr
6,T,,20,50,Appr
6,H,Y,20,50,Appr
6,H,Y,20,50,Appr
7,H,,23,50,Appr
7,H,,23,50,Appr
7,B,,23,50,Appr
7,H,,23,50,Appr
7,B,Y,23,50,Appr
8,H,Y,24,50,Appr
8,W,Y,24,50,Appr
7,B,,24,52,Appr
7,H,,24,52,Appr
7,H,,24,52,Appr
7,H,,24,52,Appr
7,H,,24,52,Appr
7,H,Y,24,52,Appr
8,H,Y,25,52,Appr
8,H,,25,52,Appr
8,B,,25,52,Appr
8,H,,25,52,Appr
8,B,,25,52,Appr
6,H,,21,53,Appr
6,H,,21,53,Appr
6,H,,21,53,Appr
6,W,,21,53,Appr
6,H,,21,53,Appr
6,H,,21,53,Appr
6,H,,21,53,Appr
6,H,,21,53,Appr
6,H,,21,53,Appr
6,B,Y,21,53,Appr
7,H,,25,54,Appr
7,H,,25,54,Appr
7,H,,25,54,Appr
8,W,,26,54,Meets
8,H,,26,54,Meets
8,H,,26,54,Meets
8,H,,26,54,Meets
8,H,Y,26,54,Meets
8,H,,25,54,Meets
6,H,Y,22,55,Appr
6,H,,22,55,Appr
6,H,,22,55,Appr
6,B,,22,55,Appr
6,H,,22,55,Appr
6,W,,22,55,Appr
8,H,,27,56,Meets
8,H,,27,56,Meets
8,H,,27,56,Meets
8,H,,27,56,Meets
8,H,,27,56,Meets
8,H,,27,56,Meets
8,H,,27,56,Meets
7,H,,26,57,Appr
7,B,,26,57,Appr
7,H,,26,57,Appr
8,H,,7,58,Not Met
6,H,,23,58,Meets
6,B,,23,58,Meets
6,B,,23,58,Meets
6,H,,23,58,Meets
6,H,,23,58,Meets
6,B,,23,58,Meets
6,H,,23,58,Meets
6,H,,23,58,Meets
6,H,,23,58,Meets
8,B,,28,58,Meets
8,H,,28,58,Meets
8,H,,28,58,Meets
8,H,,28,58,Meets
8,B,,28,58,Meets
8,H,,28,58,Meets
8,H,,28,58,Meets
8,H,Y,28,58,Meets
7,H,,27,59,Meets
7,B,,27,59,Meets
8,H,,27,59,Meets
8,H,,29,60,Meets
6,H,,24,60,Meets
6,B,,24,60,Meets
6,H,,24,60,Meets
6,H,,24,60,Meets
6,H,,24,60,Meets
8,H,,29,60,Meets
8,B,,29,60,Meets
8,H,,29,60,Meets
8,H,,29,60,Meets
7,W,,28,61,Meets
7,H,,28,61,Meets
7,H,,28,61,Meets
7,W,,28,61,Meets
8,H,,28,61,Meets
8,H,,30,63,Meets
6,B,,25,63,Meets
6,W,,25,63,Meets
6,H,,25,63,Meets
6,H,,25,63,Meets
6,H,,25,63,Meets
6,H,,25,63,Meets
6,B,Y,25,63,Meets
7,H,,29,63,Meets
7,B,,29,63,Meets
7,T,,29,63,Meets
7,H,,29,63,Meets
8,B,,30,63,Meets
8,H,,30,63,Meets
8,H,,30,63,Meets
8,A,,30,63,Meets
8,H,,30,63,Meets
8,H,,29,63,Meets
8,H,,31,65,Meets
6,H,,26,65,Meets
6,H,,26,65,Meets
6,T,Y,26,65,Meets
7,T,,30,65,Meets
7,W,,30,65,Meets
8,H,,31,65,Meets
8,H,,31,65,Meets
8,H,,31,65,Meets
8,H,,31,65,Meets
8,H,,31,65,Meets
7,H,Y,31,67,Meets
7,H,,31,67,Meets
8,H,,32,67,Meets
8,H,,31,67,Meets
6,B,,27,68,Meets
6,W,,27,68,Meets
8,B,,33,69,Meets
6,W,,28,70,Meets
6,H,,28,70,Meets
6,H,,28,70,Meets
7,H,,32,70,Meets
7,B,Y,32,70,Meets
8,H,,32,70,Meets
8,H,,32,70,Meets
7,H,,41,71,Masters
7,H,,41,71,Masters
8,H,,34,71,Meets
8,B,,42,72,Masters
8,H,,42,72,Masters
7,H,,33,72,Meets
7,W,,33,72,Meets
7,W,,33,72,Meets
8,W,,33,72,Meets
6,H,,29,73,Meets
8,H,,35,73,Meets
8,H,,35,73,Meets
8,H,,35,73,Meets
7,H,,43,74,Masters
7,H,,34,74,Meets
8,H,,34,74,Meets
8,H,,9,75,Appr
8,H,,9,75,Appr
8,H,,9,75,Appr
8,W,,9,75,Appr
6,H,,30,75,Meets
6,B,,30,75,Meets
6,B,,30,75,Meets
6,H,,30,75,Meets
6,H,Y,30,75,Meets
8,H,,36,75,Meets
8,B,,35,76,Meets
8,H,,37,77,Masters
8,H,,37,77,Masters
6,H,,31,78,Masters
6,H,,31,78,Masters
6,H,,31,78,Meets
6,H,,31,78,Meets
6,W,,31,78,Meets
7,H,,36,78,Meets
8,H,,36,78,Masters
8,H,,46,79,Masters
8,W,,38,79,Masters
8,B,,38,79,Masters
8,H,,38,79,Masters
8,H,,38,79,Masters
8,H,Y,38,79,Masters
6,H,,32,80,Masters
6,H,,32,80,Masters
6,T,,32,80,Masters
6,H,,32,80,Masters
6,H,,32,80,Masters
6,H,,32,80,Masters
6,H,,32,80,Masters
7,H,Y,37,80,Meets
7,H,,37,80,Meets
8,H,,37,80,Masters
7,H,,47,81,Masters
8,H,,47,81,Masters
8,B,,39,81,Masters
8,H,,10,83,Meets
6,B,,33,83,Masters
6,H,,33,83,Masters
6,H,,33,83,Masters
6,W,Y,33,83,Masters
8,H,,40,83,Masters
8,H,,40,83,Masters
8,H,,38,83,Masters
8,H,,41,85,Masters
6,H,,34,85,Masters
8,B,,41,85,Masters
8,H,Y,39,85,Masters
8,H,,39,85,Masters
6,B,,35,88,Masters
6,H,Y,35,88,Masters
6,H,,35,88,Masters
8,H,,41,89,Masters
8,H,,52,90,Masters
6,H,Y,36,90,Masters
6,H,,36,90,Masters
6,H,,36,90,Masters
8,H,,43,90,Masters
8,B,,53,91,Masters
7,W,,53,91,Masters
7,A,,42,91,Masters
8,H,,42,91,Masters
8,H,,11,92,Masters
6,H,,37,93,Masters
6,H,,37,93,Masters
6,H,,37,93,Masters
8,W,,45,94,Masters
6,H,,38,95,Masters
8,H,,46,96,Masters
7,H,,44,96,Masters
6,H,,39,98,Masters
6,H,,39,98,Masters
8,H,,12,100,Masters
